Date,Review
14 de fevereiro de 2023,"Ótimo atendimento digital, rápido e eficiente.
Pratos fartos, deliciosos e preços muito bons.
Vale muito a experiência!"
13 de fevereiro de 2023,"Maravilhoso, lugar e comida incríveis. Melhor ligar para comemoração de aniversário, Com certeza voltarei mais vezes"
12 de fevereiro de 2023,"Uma boa opção de Mexicano na Barra. Ótimo atendimento,comida de qualidade em um rodízio bastante interessante."
11 de fevereiro de 2023,"Lugar top demais ! 
Garçom , recepcionistas são os melhores.
Lugar muito organizadooo
E a comidaaaaa é muitooo boa."
8 de fevereiro de 2023,"Excelente atendimento, comida maravilhosa, lugar muito lindo e animado, ótimo lugar para fazer aniversário!"
4 de fevereiro de 2023,"Muito bom, super recomendo pela experiência que faz-te sentir no México, além de arrancar sorrisos e comida muito boa."
30 de janeiro de 2023,"Ficamos encantados em conhecer pela primeira vez a cozinha  mexicana. Valeu a pena demais conhecer este lugar. Desde os primeiros passos na entrada, o atendimento, o capricho. Tudo perfeito . Voltaremos com certeza ."
24 de janeiro de 2023,"Comida, bebida, atendimento excelentes! Ja vim algumas vezes e voltaria outras, lugar perfeito para comemorar aniversários."
20 de janeiro de 2023,O lugar é excelente!! Comida maravilhosa e preço justo! Atendimento super rápido e prático com o cardápio digital e um show a parte com os mexicanos cantando em todas as mesas.
19 de janeiro de 2023,"Atendimento bom, comida gostosa, os drinks valeram a pena. Passei uma boa noite com minha namorada os atendentes eram muito simpáticos"
8 de janeiro de 2023,"Alisson é um ótimo funcionário, nos atendeu muito bem e nos proporcionou uma noite muito agradável!."
6 de janeiro de 2023,"Lugar muito top ótimo atendimento e comida mexicana de verdade
Bem organizado 
Música boa 
Bebida gelada"
5 de janeiro de 2023,"O restaurante é excelente, apresentando grande variedades relacionadas à culinária mexicana, além de muitas possibilidades"
26 de dezembro de 2022,O Guaca é meu lugar favorito pra aproveitar com a família e os amigos. A comida está sempre saborosa e os drinks são maravilhosos. O atendimento na unidade Barra é especial!
26 de dezembro de 2022,"Ambientação maravilhosa, atendentes atenciosos e com uma culinária e bebidas excepcionais! Sou de São Paulo e sempre que venho visito a casa!"
26 de dezembro de 2022,Excelente lugar para jantar! Opção happy hour com os preços de drinks mais conta. Tudo de muita qualidade. Atendimento impecável. Valeu muito a pena. Voltarei.
22 de dezembro de 2022,"excelente atendimento, comida gostosa, lugar bonito, bebida gostosa, só a entrega que demorou um pouco"
21 de dezembro de 2022,"Ótimo atendimento da Shay
      Diversão tequila e música boa.                      Adoramos e vamos retornar mais vezes.                    Música divertida."
20 de dezembro de 2022,"Sensacional, atendimento ótimo, muito animado 👏🏻👏🏻👏🏻 visito desce 2015, sempre melhorando cada vez mais!"
17 de dezembro de 2022,"Atendimento, entretenimento, comida e ambiente, recepção e cerveja gelada! Pedimos vários pratos e todos foram muito bem servidos e saborosos"
17 de dezembro de 2022,"Ótimo ambiente, entendimento muito bom, comida fresca. Pedimos alguns pratos e em todos eles não temos do que reclamar! 
Bom pra car#lho"
16 de dezembro de 2022,"Ótima atendente, cearense arretada! Comida gostosa e quente. Os garçons são atenciosos e a música é muito boa. Local com decoração de muito bom gosto."
13 de dezembro de 2022,"Experiência muito agradável, atendimento incrível em especial o da atendente Glória, muito educada e atenciosa ❤️❤️❤️❤️"
11 de dezembro de 2022,"Super recomendo, primeira vez no restaurante e com certeza voltarei, comida boa, drinks nota 10 e Mariachis trio macarena nota 100, os meninos super animados, agradáveis, afinados, lindas as versões da música popular brasileira, todo maravilhoso e super Professional o trabalho deles, delicadeza total. Quero...Mais"
10 de dezembro de 2022,"Animado, preço justo, ambiente bem frequentado, ótimo atendimento e excelente promoção para aniversariantes.
E o mais importante: excelentes opções de pratos e drinks, pertinho da praia."
8 de dezembro de 2022,"Atendente Glória sensacional! Nos atendeu com muita alegria e se mostrou extremamente solicita. 
Comida maravilhosa e ambiente descontraído.
Super recomendo!"
6 de dezembro de 2022,"Lugar muito especial, especialmente o cavalheiro da tequila, muito querido.
Deve ser o melgir lugar de floripa para se fazer festa em floripa!!
Gente bonita!"
3 de dezembro de 2022,"Muito legal, bonito,decorado e divertido. Comida tipica mexicana. 
Música com animadores . Localizado numa rua de bares.Recomendo"
26 de novembro de 2022,"Muito bom, atendentes maravilhosas, animados. Uma experiência completa cheia de diversão e ânimo. Amei tudo"
25 de novembro de 2022,"Excelente comida, muito aconchegante, festa aninada. Boas opções de pratos e bebidas. Ótima opção para noite"
20 de novembro de 2022,"Melhor restaurante de toda a viagem,  perfeito para ir com a família! Lugar bem aconchegante, comida boa, drinks ótimos"
19 de novembro de 2022,Ótima experiência.  Excelentes atendentes e comida muito boa!Além de muito divertido! Fomos com amigos comemorar o aniversário de uma amiga e foi ótimo! Claiton e Rodrigo foram muito queridos!
19 de novembro de 2022,"Aniversário da minha esposa, fomos colocados em uma mesa especial, banda mexicana e tequileira garantiram a animação! Excelente atendimento, na nossa passagem pelo RJ, foi o melhor restaurante. Voltaremos com toda certeza!"
16 de novembro de 2022,"Frozen deliciosa, comida também, mas o maior destaque é a Lúcia, atenciosa, educada e a melhor tequileira do país!"
15 de novembro de 2022,"Atendimento excelente... Lugar agradável... Comida top! Garçons atenciosos... Enfim, super recomendo!"
14 de novembro de 2022,"Atendentes perfeitos, comidas e bebidas ótimas, tudo de bom para uma noite em floripa. Você ficará muito satisfeito com tudo que oferecem aqui"
14 de novembro de 2022,"Super animado, atendimento rápido e comida boa. Vale a pena vir e passar tempo aqui com os amigos ou família"
14 de novembro de 2022,"Foi muito boa muito legal ta de parabens, poxa que lugar legal, muito legal, serio, bem legal, uau!!"
14 de novembro de 2022,"Ótimo atendimento e comida, um ótimo ambiente para comemorar com os amigos e família. Recomendo a todos"
14 de novembro de 2022,"Muito animado o bar com os cantores, comida sensacional e atendimento ótimos. Foi bem satisfatório pós  praia."
14 de novembro de 2022,"Adoramos o ambiente, bem decorado e música maravilhosa. A María nos atendeu super bem. Super recomendo."
13 de novembro de 2022,"O rodízio simplesmente não vale a pena. Não circula sequer 10% do que o cardápio promete. Os pratos estavam frios. O buffet tem bons molhos e tortilha. O churros estava frio e com gosto de óleo velho. 
Não sabemos se a la Carte a experiência...Mais"
13 de novembro de 2022,"Atendimento ótimo, comida deliciosa e muito divertido! Gostamos de tudo! Uma dica: façam reserva ou cheguem cedo. Nós não reservamos e só conseguimos sentar na parte externa."
12 de novembro de 2022,muito top janta incrível musica boa bom atendimento quero minha jarra de mojito moço vestido de chaves tamo junto
11 de novembro de 2022,"Melhor comida mexicana!! Muito bom!  Burrito e nachos muito bons! Tem sempre música e ambiente bom, com atendimento rápido"
7 de novembro de 2022,"Após chegar com minha família fomos tratados com descaso e de forma irônica por termos uma forma peculiar no sotaque,infelizmente não foi leve,soou grosseiro!!!"
5 de novembro de 2022,"Os mariachis cantaram Rebelde pra nossa mesa e a gente se sentiu a própria Anahí! Eles também cantaran Cielito Lindo, galera mexicana. Artistas muito talentosos e desenrolados. Atendimento top! A comida tava excelente, vou passar os proximos dias lembrando das quesadillas e do taco ✨️💕"
5 de novembro de 2022,"Ambiente mto agradável, tipicamente mexicano, na decoração, musica, comidas deliciosas. Vale mto a visita. Voltaremos mais vezes com certeza :)"
5 de novembro de 2022,"Atendimento de grande excelência, super recomendo todos os garçons maravilhosos em especial ao Cleiton.. parabéns"
4 de novembro de 2022,"muito legal, ambiente muito legal, divertido, te tira da zona de conforto, extremamente animado, aconchegante, muitooooooo legal."
4 de novembro de 2022,"Garcon  Diego!!!  parabéns  pelo atendimento, muito atencioso e prestativo 
Ambiente fantástico e lindo ."
4 de novembro de 2022,"Adorei o atendimento, rápido e atencioso. A comida estava ótima e o show também, o ambiente é super agradável. A única coisa que mudaria é o cheiro do salão, parecia de banheiro, mas tirando isso, nada a reclamar."
24 de outubro de 2022,Muito bom pessoas legais comida boa cantor legal lugar animada ótimo atendimento. Amei demais voltarei
22 de outubro de 2022,"Ótimo atendimento, comida de qualidade e sem falar na atração musical, mariachi sendo cantado na minha mesa, que experiência! Valeu Guacamole"
21 de outubro de 2022,"Viemos despretensiosamente e tivemos uma grande surpresa. Ambiente aconchegante, música animada e ótimos atendentes. Comidas excelentes, tudo na vibe mexicana, e muito gostoso. Tudo sai muito rápido, e os drinks são espetaculares. O atendimento é excepcional, os garçons todos à caráter, e disponíveis a todo...Mais"
18 de outubro de 2022,"Lugar lindo e aconchegante, todas as comidas estavam maravilhosas, o pessoal também é muito gentil. Vale muito a pena. NOTA 10!"
18 de outubro de 2022,"Melhor restaurante da franquia que nós fomos! O atendimento foi simpático e organizado, os pratos deliciosos e os drinks estavam ótimos!"
17 de outubro de 2022,"Excelente local, ambiente gostoso e aconchegante! 
Com certeza, uma ótima opção para noite, em família ou romântica e com amigos!"
16 de outubro de 2022,"Sempre uma experiência incrível, atendimento impecável, sem contar na comida, incrível!!! Super Recomendo!"
16 de outubro de 2022,"Melhor restaurante!!!!!
Melhora comida !!!!!!
Muito animado!!!!!!

Melhor atendimento!!!!!!
Quero voltar sempre!!!!!"
15 de outubro de 2022,Bar fantástico … atendimento maravilhoso!! Nosso atendente Becker maravilhoso ❤️Decoração maravilhosa !! Lugar super aconchegante climatizado !!!
15 de outubro de 2022,"Gostamos do restaurante! Comida saborosíssima, inovadora e excelente! Fomos atendidos pelo Alisson de forma exemplar"
